Wed Feb  5 16:03:07 2025    profile_output.prof

         81890 function calls (79883 primitive calls) in 0.157 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1985(__init_subclass__)
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      224    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:168(__getitem__)
        8    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       16    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:1562(__and__)
       36    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_histograms_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/_compat_pickle.py:1(<module>)
      341    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      390    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      358    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/umath.py:1(<module>)
      286    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/mixins.py:61(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_distributor_init.py:1(<module>)
       13    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:390(__setitem__)
      171    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:261(get)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      561    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:781(<genexpr>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_iotools.py:451(StringConverter)
      265    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/overrides.py:105(array_function_dispatch)
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        5    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:254(__set_name__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_ufunclike_impl.py:1(<module>)
    33/13    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:178(getwidth)
       10    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:449(_uniq)
      182    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:1(<module>)
       45    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:307(_unpack_args)
      273    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1860(__init__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_datasource.py:1(<module>)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      101    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      116    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       50    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_add_newdocs.py:6752(refer_to_array_attribute)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:513(__prepare__)
      369    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      281    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       13    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/mixins.py:46(_numeric_methods)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1114(_generic_init_subclass)
      106    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      233    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:240(__next)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1740(_get_protocol_attrs)
      115    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      101    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_typing/_scalars.py:1(<module>)
      102    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1311(<genexpr>)
       54    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1079(<genexpr>)
       36    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/getlimits.py:24(_fr1)
       42    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/getlimits.py:101(_float_conv)
        7    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/__future__.py:1(<module>)
       78    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/ctypes/__init__.py:265(_reset_cache)
        3    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/ctypes/__init__.py:509(PYFUNCTYPE)
        7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      102    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:176(append)
        5    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:98(closegroup)
       91    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/ctypes/__init__.py:73(CFUNCTYPE)
       48    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:1544(_get_value)
       26    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      101    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_globals.py:65(_CopyMode)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:738(_make_union)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/numerictypes.py:622(_register_types)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/__config__.py:14(DisplayModes)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/__init__.py:432(_sanity_check)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
     16/7    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       42    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       36    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/getlimits.py:16(_fr0)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_asarray.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
     16/7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       14    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/ctypes/__init__.py:145(_check_size)
       83    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_utils/__init__.py:27(decorator)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:386(_mk_bitmap)
       98    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:256(match)
       15    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:398(_simple)
       24    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/numerictypes.py:590(_scalar_type_key)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_dtype.py:1(<module>)
        9    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/overrides.py:23(set_array_function_like_doc)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_array_api_info.py:1(<module>)
       42    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:83(<genexpr>)
      176    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/ctypes/__init__.py:343(__init__)
       83    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_utils/__init__.py:16(set_module)
       12    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/pickle.py:1129(_Unpickler)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_machar.py:1(<module>)
       59    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:164(__len__)
       16    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:726(__call__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:18(numeric_type_aliases)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/contextlib.py:272(contextmanager)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_dtype_ctypes.py:1(<module>)
       45    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:293(tell)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:2131(runtime_checkable)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:967(_get_mixins_)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       20    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/mixins.py:18(_binary_method)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      8/7    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/__init__.py:493(hugepage_setup)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/arrayprint.py:537(decorating_function)
       18    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:19(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_pytesttester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_arrayterator_impl.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:274(getuntil)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      117    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        5    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:86(opengroup)
        3    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/getlimits.py:692(__init__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/linalg/_linalg.py:43(EigResult)
       66    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/linalg/_linalg.py:59(SVDResult)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/numbers.py:57(Complex)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:1008(_find_data_type_)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_version.py:1(<module>)
        7    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:372(_escape)
        2    0.000    0.000    0.000    0.000 <frozen os>:717(__setitem__)
        8    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:231(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/warnings.py:184(_add_filter)
        8    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:850(__setattr__)
        4    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
       14    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/mixins.py:28(_reflected_binary_method)
        8    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_typing/__init__.py:56(__init_subclass__)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
       15    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:785(__delattr__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/linalg/_linalg.py:47(EighResult)
       22    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_type_aliases.py:118(<lambda>)
       13    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/mixins.py:38(_inplace_binary_method)
       10    0.000    0.000    0.000    0.000 <frozen os>:791(encode)
       42    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen os>:723(__delitem__)
       24    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:295(_check_generic)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:1035(_find_new_)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_internal.py:252(_missing_ctypes)
       85    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/_compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/linalg/_linalg.py:51(QRResult)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/linalg/_linalg.py:55(SlogdetResult)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/numbers.py:319(Integral)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       38    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/numbers.py:172(Real)
       13    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:79(_is_private)
        6    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/pickle.py:401(_Pickler)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/numeric.py:144(ones)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       42    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_polynomial_impl.py:1080(poly1d)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:441(__enter__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_utils/_inspect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/matrixlib/defmatrix.py:72(matrix)
        6    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:2330(get_origin)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_array_utils_impl.py:1(<module>)
       26    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:83(groups)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        6    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_exceptions.py:17(_display_as_base)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       28    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       27    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       16    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:1129(__new__)
       43    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/_compat_pickle.py:165(<genexpr>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/warnings.py:168(simplefilter)
       38    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:328(AxisConcatenator)
       16    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:570(isstring)
       38    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/collections/__init__.py:429(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_typing/_shape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       77    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       13    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/platform.py:848(uname_result)
       29    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:113(__init__)
       11    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:48(_is_dunder)
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/ctypes/__init__.py:442(LibraryLoader)
       23    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/overrides.py:173(array_function_from_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:54(_get_platform_and_machine)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py:106(NpzFile)
       24    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
       65    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        2    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_internal.py:261(_ctypes)
       13    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:70(_is_internal_class)
        5    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:38(_is_descriptor)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_expired_attrs_2_0.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1088(<genexpr>)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/copyreg.py:12(pickle)
        8    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:953(fix_flags)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:383(__init__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_iotools.py:228(NameValidator)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_exceptions.py:116(_ArrayMemoryError)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:957(_check_for_existing_members_)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:304(checkgroupname)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:202(__get__)
       14    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:428(_get_iscased)
        4    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/__init__.py:158(__getattr__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/pickle.py:194(_Framer)
        4    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/mixins.py:53(_unary_method)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/platform.py:800(_Processor)
       15    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:172(__setitem__)
        2    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:457(__exit__)
        3    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1433(__mro_entries__)
       10    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_datasource.py:532(Repository)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
        8    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:485(__getattr__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/ctypes/__init__.py:322(CDLL)
        9    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
       16    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:2806(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_exceptions.py:38(_UFuncNoLoopError)
