noise_level,w=0.30,w=0.32,w=0.34,w=0.36,w=0.38,w=0.40,w=0.42,w=0.44,w=0.46,w=0.48,w=0.50
1.0000000000000004e-06,0.8535530192981744,0.8535530370410536,0.8535530332858978,0.7842751025940752,0.6256469376762017,0.5206985229995122,0.44694044741344807,0.39268753150891617,0.3513387669297646,0.3189156557644286,0.29289321759286124
1.7782794100389233e-06,0.853552744134783,0.8535527618563962,0.8535527581257627,0.7842743626059028,0.6256463934655934,0.5206981083136728,0.4469401237588512,0.39268727481247445,0.35133856126536983,0.31891549004349745,0.2928932159877077
3.1622776601683805e-06,0.8535522548173955,0.8535522725068629,0.8535522688141806,0.7842730467009029,0.6256454257076429,0.5206973708868373,0.4469395482109301,0.39268681833480557,0.35133819553629303,0.31891519509005695,0.29289321192380036
5.623413251903492e-06,0.8535513846743585,0.8535514023511841,0.853551398681363,0.7842707066564409,0.6256437047653977,0.5206960595373366,0.4469385247271276,0.3926860065910036,0.3513375451697453,0.318914670665553,0.29289320127514357
1.0000000000000003e-05,0.8535498373169113,0.853549855010713,0.8535498513400006,0.7842665454108613,0.625640644454913,0.5206937275961148,0.44693670469079094,0.3926845630869941,0.3513363886400991,0.31891373954790503,0.29289321845058364
1.7782794100389232e-05,0.8535470856830254,0.853547103349289,0.8535470997354082,0.784259145576615,0.625635202385726,0.5206895807675864,0.44693346816978413,0.39268199614391,0.3513343320149037,0.3189120832537274,0.29289321843158383
3.16227766016838e-05,0.853542192509143,0.8535422102403494,0.8535422066118732,0.7842459866767603,0.6256255249228788,0.5206822065937484,0.44692771276949644,0.39267743143468403,0.35133067478865565,0.31890913757700157,0.29289321887643616
5.623413251903492e-05,0.8535334910787808,0.8535335087452662,0.8535335052674342,0.7842225867070034,0.6256083158693555,0.5206690933975628,0.44691747818103145,0.3926693142099985,0.3513241713096865,0.3189038995352457,0.29289321884029784
0.00010000000000000002,0.8535180175043451,0.85351803520514,0.8535180318333611,0.7841809757528244,0.6255777139311545,0.520645774930331,0.44689927860689527,0.39265487984454894,0.35131260659341645,0.31889458498049716,0.2928932181253243
0.00017782794100389232,0.8534905011655738,0.8534905188858701,0.8534905157119663,0.784106982159134,0.6255232969287496,0.5206043096334707,0.4468669158926947,0.39262921254720723,0.3512920421992355,0.3188780219122641,0.2928932184162828
0.000316227766016838,0.8534415694270436,0.8534415871553285,0.8534415842812699,0.7839754081786091,0.625426533968207,0.5205305773460478,0.4468093697830247,0.39258357220285695,0.35125547581806393,0.31884857080615225,0.2928932188411397
0.0005623413251903492,0.8533545729023229,0.8533545729158798,0.8533545461880812,0.783741455978612,0.6252544803352507,0.5203994752747609,0.4467070488622541,0.3925024212966125,0.35119045960910644,0.3187962061054538,0.29289322010427266
0.0010000000000000002,0.8531998372737098,0.8531998372045102,0.8531998150930424,0.783325496673399,0.6249485776764192,0.5201663851473985,0.4465251320824728,0.39235814514174844,0.3510748712058188,0.3187031128457579,0.2928932188052912
0.001778279410038923,0.8529246741159039,0.8529246739756562,0.8529246561792758,0.7825860360289172,0.6244047769207974,0.5197520312838144,0.44620175474260504,0.39210168571038084,0.35086941316765174,0.3185376470645886,0.29289321873015506
0.00316227766016838,0.852435370368638,0.8524353568817813,0.8524353429014686,0.7812718003711865,0.6234383202179827,0.5190156549746173,0.4456270841889884,0.39164595804961,0.350504337666232,0.3182436552209025,0.29289321881537533
0.005623413251903492,0.8515652069538333,0.8515652143798873,0.8515652041063513,0.7789370413303509,0.6217214812844508,0.5177076315830433,0.4446063782705142,0.39083658889475337,0.34985603851696334,0.3177216564197558,0.2928932189259126
0.010000000000000002,0.8500178412523343,0.850017857684186,0.8500178524578091,0.7747925462810953,0.6186741715457846,0.5153862321783793,0.4427951475186224,0.3894006104622215,0.34870606052930664,0.31679594127100497,0.2928932188472739
0.01778279410038923,0.8472662236049704,0.8472662059922089,0.847266223463862,0.7674458869805589,0.6132734107907616,0.5112728679944976,0.4395865729186742,0.3868575588329817,0.346670234610011,0.3151578497887988,0.2928932188409741
0.0316227766016838,0.8423730460630892,0.8423730341405367,0.8423730495956929,0.7544563210993216,0.6037274861131392,0.5040052598867656,0.4339201716927804,0.382368929453582,0.3430792409361055,0.31227072736023276,0.2928932259373507
0.05623413251903491,0.8336716227482528,0.8336716219279614,0.8336716131014819,0.7315985607317779,0.5869396535137381,0.4912332877990986,0.42397056469243066,0.3744953151909565,0.33678784182452237,0.29289320757367526,0.29289321849852223
0.1,0.8181980507248159,0.8181980502046015,0.8181980439174523,0.691741324701314,0.5577001446136421,0.4690184710057751,0.4066927188503682,0.3608488731595211,0.2928932062278354,0.29289321991742934,0.29289321881722485
0.1778279410038923,0.7906817254705159,0.7906817191349822,0.7906817262860135,0.6235263696515048,0.5077725304155729,0.43118977085554583,0.3773671678976578,0.29289323508089143,0.2928932189345963,0.2928932360536343,0.2928932253279411
0.31622776601683794,0.741749983736363,0.7417499899109958,0.6519650393953523,0.5116835316574868,0.4263387355543268,0.2928932195844989,0.29289321892952186,0.2928932189076797,0.2928932208121324,0.2928932203345255,0.2928932104561821
0.5623413251903491,0.6547357074569264,0.5364580418762924,0.29289321883410324,0.29289321924303346,0.29289321881056163,0.29289321895346343,0.2928932194851821,0.2928932182691074,0.2928932189478677,0.29289321892760223,0.2928932183031783
1.0,0.29289321883769026,0.2928932189148842,0.29289321889680764,0.29289321846061783,0.2928932111085606,0.2928932188257705,0.29289321887764175,0.29289321886871167,0.2928932193450796,0.2928932188803477,0.19160264319263406
