noise_level,w=0.20,w=0.24,w=0.28,w=0.32,w=0.36,w=0.40,w=0.44,w=0.48,w=0.52,w=0.56,w=0.60
1.0000000000000004e-06,0.1764396717531066,0.1764398369124878,0.17643990681373037,0.17643983028751134,0.17643976874172126,0.17643908006998943,0.15296149553794505,0.05710835015249128,2.0602264087306865e-06,6.392689912575784e-07,5.651608263442175e-07
1.7782794100389233e-06,0.17643951606757044,0.17643967253032866,0.1764397480389538,0.17643966146240825,0.17643958438339263,0.1764389068561674,0.15296088216708037,0.05710800070704974,2.089264888342238e-06,7.555854670103627e-07,6.83556876892099e-07
3.1622776601683805e-06,0.17643923922224602,0.17643935515216672,0.17643945960810692,0.1764393356944654,0.1764392565238496,0.17643859876215665,0.15295979703805235,0.05710727038961542,2.1987120699569163e-06,1.014118874102782e-06,9.662348238461912e-07
5.623413251903492e-06,0.1764387319574672,0.17643875490763447,0.17643887871916034,0.17643875516367957,0.176438673590982,0.17643805066433607,0.1529578770876981,0.05710608987736342,2.534128032284712e-06,1.589445748346537e-06,1.5622484006568028e-06
1.0000000000000003e-05,0.17643780095146464,0.1764364002439789,0.1764377807112911,0.176437722678638,0.17643764031595519,0.1764371413739101,0.1529574450761273,0.05710385089242988,3.3138712871195234e-06,2.6766264671896336e-06,2.66424557786605e-06
1.7782794100389232e-05,0.17643609969690469,0.1764345304679065,0.1764357804181949,0.1764358178471761,0.17643580496744757,0.17643552576737115,0.15294798771199222,0.057099982635564615,4.5499261110777794e-06,4.6007286068950475e-06,4.584397204778046e-06
3.16227766016838e-05,0.17643283882522132,0.17643225009341765,0.1764322962553164,0.17642970922431708,0.17642971922746892,0.1764297112807818,0.1529334913972996,0.0570909029287854,8.57278423016373e-06,8.50200514640939e-06,8.536206078529029e-06
5.623413251903492e-05,0.1764266432760437,0.17642752390711192,0.17642170977386765,0.17642170064207854,0.17642170875206808,0.17642170405634233,0.1529153999203567,0.0570770033545143,1.4657126387210294e-05,1.4755761564285069e-05,1.4837353496078528e-05
0.00010000000000000002,0.17641642198401325,0.17640747951234653,0.17640744053524715,0.1764074749142828,0.17640747453639294,0.17640747674691787,0.15288319193473437,0.05705222889710954,3.014462175184426e-05,2.9375291561633143e-05,2.943206815172356e-05
0.00017782794100389232,0.176382183145365,0.1763822186650059,0.17638219088857846,0.1763821781976762,0.17638217640836343,0.1763821887566655,0.15282595185760942,0.0570081452114833,5.339457698210053e-05,5.3382868434060874e-05,5.371213733932765e-05
0.000316227766016838,0.17633722753758807,0.17633722869022747,0.1763372003639598,0.17633720048215518,0.17633719950743731,0.17633719490351338,0.1527241752683616,0.05692985416380081,9.5689378066155e-05,9.559649314578595e-05,9.506471122294536e-05
0.0005623413251903492,0.17625725684217042,0.17625726733162023,0.17625723707727234,0.17625726695805805,0.1762572621535547,0.176257249190709,0.15254321357264447,0.05679075407454838,0.0001696384707324696,0.00016999254031893,0.00017001173373387658
0.0010000000000000002,0.17611520452453924,0.17611520172292625,0.176115203022771,0.17611519569129683,0.1761152744580576,0.17611447522265833,0.1522215825955351,0.056543893223078415,0.00030279012295272325,0.0003024197769052162,0.00030300607150028565
0.001778279410038923,0.17586300742350616,0.17586293928332844,0.17586319029425226,0.17586292874535417,0.17586308847915047,0.17586356481509793,0.1516501922998479,0.05610639356563899,0.0005392645893117173,0.000539956272029682,0.0005391489470312472
0.00316227766016838,0.17541548746099994,0.17541557580869635,0.17541552762813487,0.17541548178178853,0.17541616693142403,0.17541540841164704,0.15063564583988195,0.05528001848481263,0.0009629707896649557,0.0009632511099233989,0.0009625056609631193
0.005623413251903492,0.17462361208236374,0.17462368734711856,0.17462349508744007,0.1746245427932662,0.17462308285667746,0.17462358955102117,0.14883701913618816,0.0536805262784618,0.001720992503249172,0.0017199455995353123,0.001719955301895622
0.010000000000000002,0.17322726897251856,0.1732274821744273,0.17322741168880568,0.17322752928426788,0.17322773946009665,0.17322720554072868,0.14565598069461527,0.05094992997232038,0.003083446826761265,0.003083148808547385,0.0030833575257849873
0.01778279410038923,0.1707827757763358,0.17078192221640318,0.1707818729719391,0.17078245323275668,0.17078321178990313,0.17078186064070727,0.14005882295262057,0.04413727929172191,0.005568084184664412,0.005568085712874932,0.005568086686666648
0.0316227766016838,0.16656303704828254,0.1665627565540895,0.16656356628642666,0.1665631890639018,0.1665628008913693,0.1665627308575661,0.13225988942650707,0.030345500018528433,0.01024200203165887,0.01024139725973402,0.010241797984104885
0.05623413251903491,0.16225170612365045,0.16187139418973978,0.1591825605765878,0.1591449639248482,0.1591090204030785,0.15907452724813323,0.12981959809944169,0.01865704318273761,0.018556195699698165,0.01846350188179548,0.0183799780796301
0.1,0.1588607938778936,0.1588323644563024,0.1482282022646558,0.1481921591886243,0.14815840519684548,0.1481255167228642,0.09649742024873022,0.03338578561268585,0.03334285454285404,0.0333064492024098,0.033276857926837954
0.1778279410038923,0.15443695977036725,0.15442008124571593,0.13733143879919524,0.13730354793108526,0.13727606537277423,0.13725099689120526,0.10373050935523379,0.07072356785754388,0.06466504712200578,0.0646431390980551,0.06462432908339406
0.31622776601683794,0.16755650137276423,0.16751938967596458,0.15076680959869138,0.15046297285075158,0.1514748376952533,0.15153723297884525,0.15117350858190304,0.13650129658021679,0.11977249944449601,0.11961217279858281,0.11946365273199412
0.5623413251903491,0.23672391926329428,0.23671040197548848,0.22479614254816055,0.22508547328202616,0.2276122420310616,0.22756335502109562,0.2275783493802156,0.22757568928217684,0.20676120851304752,0.2067611136811669,0.20676106728211965
1.0,0.41249457755939195,0.41258876553567614,0.40664223377169073,0.4092112965733681,0.4143918112489628,0.4220688651705048,0.4322883826422329,0.43861246413166954,0.4264439783557546,0.42414849019562956,0.4154590261869605
