lambda,p_err/p_succ
1.0000000000000004e-06,0.005114878277345486
1.7782794100389233e-06,0.005115263458265531
3.1622776601683805e-06,0.0051159484186783805
5.623413251903492e-06,0.0051171664731992465
1.0000000000000003e-05,0.005119332525610331
1.7782794100389232e-05,0.0051231844072311605
3.16227766016838e-05,0.005130034240374251
5.623413251903492e-05,0.005142215509804205
0.00010000000000000002,0.005163878324206006
0.00017782794100389232,0.005202404383512041
0.000316227766016838,0.005270925622801258
0.0005623413251903492,0.005392810775832702
0.0010000000000000002,0.005609668154291035
0.001778279410038923,0.0059956542121032
0.00316227766016838,0.006683163890970435
0.005623413251903492,0.007909297932720407
0.010000000000000002,0.0101010020228676
0.01778279410038923,0.014034580727643735
0.0316227766016838,0.02114608008016022
0.05623413251903491,0.03417408219760745
0.1,0.058629471129856565
0.1778279410038923,0.10670773008138992
0.31622776601683794,0.21044084217712875
0.5623413251903491,0.48731122558334056
1.0,1.9999999999993314
